mode,kind,case,eta_peak,yg,sigma,seed,jitter,t_onset_curl,t_onset_div,jc_ratio,jd_ratio,Deta_int,Deta_target,Deta_err,eff_curl,eff_div,Tmax
match,REF,ref_match_yg0_sig1.2,0.012,0.0,1.2,2,0.02,7.0,6.0,0.4494632972186856,0.7531354525820799,0.003166982122269186,nan,nan,173.83637845951822,77.94946036545298,12.0
match,RUN,match_yg0_sig1.2,0.012,0.0,1.2,2,0.02,7.0,6.0,0.4494632972186856,0.7531354525820799,0.003166982122269186,0.003166982122269186,0.0,173.83637845951822,77.94946036545298,12.0
match,RUN,match_yg1_sig1.2_ep0.0107188,0.010718750000000003,1.0,1.2,2,0.02,6.9,6.0,0.4570995975769878,0.7583346813401239,0.00324385107040881,0.003166982122269186,7.6868948139624e-05,167.3629246963525,74.49951104858211,12.0
match,RUN,match_yg2_sig1.2_ep0.00878125,0.00878125,2.0,1.2,2,0.02,6.9,5.95,0.4748187431512724,0.7661525862685067,0.003208602061861446,0.003166982122269186,4.161993959226002e-05,163.67914958704714,72.8814010659298,12.0
match,RUN,match_yg3_sig1.2_ep0.00926563,0.009265625000000001,3.0,1.2,2,0.02,7.0,6.05,0.45617808261441295,0.7500246573739859,0.0031537588951863617,0.003166982122269186,-1.3223227082824474e-05,172.43611051422863,79.26266748151099,12.0
match,RUN,match_yg4_sig1.2_ep0.0145938,0.014593750000000003,4.0,1.2,2,0.02,7.4,6.2,0.36579059479131637,0.7147558726028594,0.0031873846644076445,0.003166982122269186,2.040254213845835e-05,198.97485618559548,89.49159183149656,12.0
match,RUN,match_yg5_sig1.2_ep0.029125,0.029125,5.0,1.2,2,0.02,7.8,6.4,0.26244704454518136,0.6594469434234186,0.003141817103047448,0.003166982122269186,-2.5165019221738087e-05,234.75362545433313,108.3936605495773,12.0
match,RUN,match_yg6_sig1.2_ep0.0485,0.0485,6.0,1.2,2,0.02,8.0,6.65,0.22082215332025976,0.6077686571115565,0.0030914297085632737,0.003166982122269186,-7.555241370591241e-05,252.04449725038683,126.87700509636723,12.0
match,RUN,match_yg7_sig1.2_ep0.036875,0.036875000000000005,7.0,1.2,2,0.02,8.0,6.8,0.22459737610234656,0.5949100912588912,0.003165638840795452,0.003166982122269186,-1.3432814737340815e-06,244.94348941675628,127.96466341034629,12.0
match,RUN,match_yg8_sig1.2_ep0.0155625,0.015562500000000002,8.0,1.2,2,0.02,7.8,6.8,0.2598681647294075,0.6029370422543575,0.003071974943549632,0.003166982122269186,-9.500717871955416e-05,240.9302969168683,129.25331913249292,12.0
